"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
" 85938 (1999 DJ4)",1.853,0.4846,9.14,19.87,197.79,18.73,Y,,85938,41.94,0.023,,60600
" 85990 (1999 JV6)",1.008,0.3111,5.36,124.30,235.57,20.27,Y,,85990,312.19,0.0316,0.451,60600
" 86039 (1999 NC43)",1.76,0.5789,7.13,311.62,120.81,15.97,Y,,86039,217.35,0.0243,2.22,60600
" 86819 (2000 GK137)",1.995,0.5059,10.06,164.88,150.30,17.47,Y,,86819,212.48,0.0168,0.802,60600
" 88254 (2001 FM129)",1.182,0.6296,1.52,272.11,140.23,17.77,Y,,88254,166.57,0.01,0.800,60600
" 88959 (2001 TZ44)",1.724,0.5635,53.83,38.96,114.92,17.45,Y,,88959,18.09,0.0491,,60600
" 89136 (2001 US16)",1.356,0.2530,1.91,175.90,67.20,20.28,Y,,89136,332.59,0.029,,60600
" 89958 (2002 LY45)",1.642,0.8864,9.91,188.16,222.94,17.21,Y,,89958,186.10,0.000553,,60600
" 89959 (2002 NT7)",1.735,0.5284,42.36,132.00,300.71,16.57,Y,,89959,206.61,0.000874,1.407,60600
" 90075 (2002 VU94)",2.136,0.5755,8.91,226.73,30.77,15.37,Y,,90075,128.37,0.0281,2.233,60600
" 90403 (2003 YE45)",1.234,0.2802,19.01,286.23,306.85,17.78,Y,,90403,341.08,0.0358,0.572,60600
" 90416 (2003 YK118)",1.695,0.4924,7.83,326.76,233.29,18.86,Y,,90416,117.11,0.00216,0.968,60600
" 99248 (2001 KY66)",1.867,0.5073,10.61,284.11,61.58,16.55,Y,,99248,359.76,0.048,1.115,60600
"100085 (1992 UY4)",2.651,0.6190,2.64,305.18,42.24,17.89,Y,,100085,158.29,0.0249,,60600
"101869 (1999 MM)",1.624,0.6109,4.77,110.92,268.84,19.47,Y,,101869,52.69,0.00129,,60600
"101955 Bennu (1999 RQ36)",1.126,0.2037,6.03,2.06,66.22,20.21,Y,-0.03,101955,101.70,0.00322,0.482,55562
"103067 (1999 XA143)",1.844,0.5812,38.56,116.52,104.10,16.83,Y,,103067,289.32,0.0422,1.282,60600
"111253 (2001 XU10)",1.754,0.4394,42.02,310.15,6.97,15.28,Y,,111253,62.23,0.0287,3.006,60600
"136617 (1994 CC)",1.638,0.4169,4.68,268.51,24.92,17.97,Y,,136617,103.64,0.0152,,60600
