num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
612267,(2001 SG286),60600,1.358,0.3474,7.77,56.28,241.11,236.56,20.91,,,,
437905,(2001 XU30),60600,2.198,0.6637,8.93,107.12,72.0,348.02,19.98,,,,
164121,(2003 YT1),60600,1.11,0.292,44.06,91.0,38.31,235.13,16.18,,,,
143649,(2003 QQ47),60600,1.085,0.187,62.1,104.96,0.99,174.1,17.39,,,,
386454,(2008 XM),60600,1.222,0.9093,5.45,27.39,240.61,301.03,20.03,,,,
162474,(2000 LB16),60600,1.241,0.3574,50.71,285.25,80.85,163.39,18.62,,,,
382406,(1996 AJ1),60600,1.31,0.7814,2.54,238.33,90.94,121.03,20.57,,,,
350751,(2002 AW),60600,1.072,0.2567,0.57,119.33,161.76,42.35,20.82,,,,
1981,  1981 Midas (1973 EA),60600,1.776,0.6505,39.82,267.84,356.8,258.81,15.28,,,,
456938,(2007 YV56),60600,1.576,0.6221,6.24,265.75,102.36,203.84,21.02,,,,
448003,(2008 DE),60600,1.714,0.414,14.77,179.2,55.91,114.0,19.64,,,,
196625,(2003 RM10),60600,1.848,0.5917,13.72,287.44,341.17,166.92,20.29,,,,
465824,(2010 FR),60600,1.131,0.3654,14.24,272.73,167.27,98.4,21.69,,,,
712200,(2014 SM143),60600,1.206,0.4226,24.21,89.64,28.81,153.82,20.38,,,,
523820,(2011 GN44),60600,2.245,0.5976,55.01,319.39,16.93,307.31,18.2,,,,
619106,(2005 SQ),60600,1.654,0.5748,1.2,294.98,317.11,28.92,20.11,,,,
368203,(2001 KO2),60600,2.479,0.6177,12.46,328.84,242.3,339.25,20.56,,,,
276033,(2002 AJ129),60600,1.37,0.9149,15.44,211.04,138.01,85.46,18.78,,,,
435159,(2007 LQ19),60600,2.605,0.6299,17.06,207.69,110.83,40.28,17.14,,,,
152680,(1998 KJ9),60600,1.448,0.6396,10.93,260.12,98.54,16.67,19.5,,,,
399774,(2005 NB7),60600,2.044,0.5174,12.7,348.16,199.16,237.64,18.8,,,,
669555,(2012 YQ1),60600,1.998,0.5627,5.15,42.26,120.01,50.22,21.11,,,,
461852,(2006 GY2),60600,1.858,0.4959,30.56,216.73,54.29,87.41,18.9,,,,
5693,  5693 (1993 EA),60600,1.271,0.5851,5.06,258.98,96.98,203.14,16.79,,,,
360191,(1988 TA),60600,1.54,0.4786,2.53,105.26,194.65,329.39,21.08,,,,
416801,(2005 GC120),60600,1.193,0.4974,16.54,258.31,67.93,273.19,19.65,,,,
242643,(2005 NZ6),60600,1.833,0.8652,8.41,48.96,38.79,237.52,17.38,,,,
179806,(2002 TD66),60600,1.858,0.5347,4.93,125.88,335.53,220.46,20.46,,,,
496816,(1989 UP),60600,1.862,0.4722,3.85,17.82,53.16,256.52,20.54,,,,
247360,(2001 XU),60600,2.573,0.8366,19.07,286.06,260.98,181.52,19.36,,,,
221455,(2006 BC10),60600,2.017,0.6577,0.92,234.3,21.04,142.51,19.52,,,,
354182,(2002 DU3),60600,1.145,0.2383,8.71,245.59,0.61,102.4,20.77,,,,
458116,(2010 DA),60600,1.03,0.5657,20.54,122.24,162.31,285.48,20.29,,,,
144332,(2004 DV24),60600,1.423,0.2898,55.89,186.41,171.13,206.42,16.61,,,,
525484,(2005 GL),60600,1.056,0.3063,15.9,265.35,43.61,278.68,21.3,,,,
418416,(2008 LV16),60600,2.089,0.6255,4.72,121.97,236.47,125.34,20.3,,,,
419472,(2010 DW1),60600,1.225,0.2002,23.77,9.65,157.11,286.45,19.99,,,,
297274,(1996 SK),60600,2.445,0.7905,1.97,286.33,195.51,113.57,16.93,,,,
451124,(2009 KC3),60600,3.209,0.6984,10.01,337.28,340.11,231.75,18.08,,,,
342866,(2008 YU32),60600,1.537,0.5955,3.41,83.97,232.57,142.65,20.24,,,,
251722,(1997 US2),60600,1.675,0.6608,3.17,100.33,65.89,115.6,19.82,,,,
612358,(2002 JE9),60600,1.066,0.4165,8.77,255.9,199.83,201.66,21.4,,,,
445305,(2010 DM56),60600,1.306,0.2927,25.6,48.17,349.61,350.69,19.71,,,,
357594,(2004 XL35),60600,1.355,0.2784,27.3,356.21,73.75,210.77,19.64,,,,
357024,(1999 YR14),60600,1.651,0.4,3.73,9.7,2.98,285.74,19.47,,,,
7753,  7753 (1988 XB),60600,1.467,0.4817,3.12,280.08,73.39,95.85,18.02,,,,
199801,(2007 AE12),60600,1.684,0.5694,2.29,86.98,245.44,128.4,19.36,,,,
395207,(2010 HQ80),60600,1.568,0.4893,27.85,66.3,218.47,79.78,19.62,,,,
416195,(2002 TR190),60600,1.077,0.1599,26.92,104.79,24.21,171.49,19.44,,,,
671294,(2014 JO25),60600,2.066,0.8867,25.16,49.91,30.28,201.55,18.02,,,,
538212,(2016 CA136),60600,2.032,0.7812,1.26,125.01,239.74,18.73,19.35,,,,
275677,(2000 RS11),60600,1.28,0.3205,17.1,301.69,172.16,146.18,19.22,,,,
480936,(2003 QH5),60600,1.26,0.2202,17.62,321.16,299.21,27.81,20.26,,,,
523606,(2005 CJ),60600,1.75,0.5256,1.08,81.99,357.82,203.33,20.34,,,,
536531,(2015 DV215),60600,1.538,0.4027,13.2,41.37,13.92,73.05,20.46,,,,
513312,(2007 DM41),60600,1.181,0.5278,2.26,274.49,1.7,211.78,22.07,,,,
68950, 68950 (2002 QF15),60600,1.057,0.3443,25.15,255.57,236.21,54.57,16.39,,,,
184266,(2004 VW14),60600,2.121,0.5977,3.83,42.78,100.83,140.17,19.49,,,,
483422,(2000 CE59),60600,1.138,0.1668,12.26,307.53,318.62,16.23,20.53,,,,
260141,(2004 QT24),60600,1.133,0.2519,17.75,76.64,36.1,130.6,18.31,,,,
474158,(1999 FA),60600,1.078,0.1327,12.03,296.99,166.08,5.21,20.71,,,,
385343,(2002 LV),60600,2.314,0.6052,29.53,224.23,132.15,100.45,16.56,,,,
620096,Curupira (2016 HL),60600,1.813,0.6157,5.15,252.07,232.69,195.15,19.85,,,,
311066,(2004 DC),60600,1.634,0.3996,19.46,156.37,74.9,296.12,18.29,,,,
503941,(2003 UV11),60600,1.453,0.7626,5.93,124.95,31.78,324.1,19.65,,,,
417949,(2007 TB23),60600,1.262,0.1977,38.29,173.86,40.1,173.05,18.74,,,,
509821,(2008 WQ63),60600,1.734,0.6071,0.92,229.02,317.08,308.58,20.2,,,,
357028,(2000 EJ26),60600,1.383,0.6147,9.23,285.9,10.48,347.63,19.46,,,,
450142,(1998 XN2),60600,1.998,0.542,1.79,127.0,255.19,66.15,19.88,,,,
177614,(2004 HK33),60600,1.889,0.5204,5.44,221.54,104.7,294.36,17.59,,,,
267221,(2001 AD2),60600,1.04,0.6598,1.64,111.95,210.54,235.31,19.85,,,,
363734,(2004 XN50),60600,1.681,0.7782,3.31,253.41,62.4,55.37,18.82,,,,
138175,(2000 EE104),60600,1.004,0.2932,5.24,280.87,25.5,52.66,20.47,,,,
458418,(2011 AM12),60600,1.854,0.5377,38.5,237.74,124.76,199.81,19.47,,,,
523804,(2000 YF29),60600,1.492,0.3713,6.3,28.1,124.74,355.9,20.31,,,,
374855,(2006 VQ13),60600,1.099,0.4458,16.7,73.8,233.68,251.14,20.11,,,,
369057,(2008 DK5),60600,1.555,0.6151,4.27,81.0,345.62,237.26,21.32,,,,
357439,(2004 BL86),60600,1.502,0.4025,23.78,311.51,126.65,120.93,19.29,,,,
162000,(1990 OS),60600,1.678,0.4624,1.09,21.59,346.51,239.67,19.64,,,,
620082,(2014 QL433),60600,2.092,0.717,4.43,260.62,322.63,158.82,19.87,,,,
162567,(2000 RW37),60600,1.247,0.2501,13.75,133.29,333.29,12.21,19.97,,,,
374038,(2004 HW),60600,2.691,0.6353,0.83,62.78,219.87,223.39,17.2,,,,
678413,(2017 SV20),60600,1.303,0.3054,22.73,119.66,110.86,52.25,18.76,,,,
494658,(2000 UG11),60600,1.929,0.5718,8.91,240.87,223.91,322.34,20.71,,,,
423709,(2006 BQ6),60600,1.472,0.4049,13.0,304.8,307.62,96.61,19.75,,,,
478574,(2012 TS78),60600,1.608,0.3818,32.67,196.78,8.27,123.69,18.61,,,,
614470,Flordeneu (2009 ST19),60600,2.361,0.5949,6.73,336.93,0.13,59.52,18.39,,,,
52768, 52768 (1998 OR2),60600,2.38,0.5755,5.88,174.59,26.94,81.21,16.04,,,,
207398,(2006 AS2),60600,2.091,0.6419,2.6,80.07,125.63,49.89,20.38,,,,
88254, 88254 (2001 FM129),60600,1.182,0.6296,1.52,140.23,272.11,166.57,17.77,,,,
457768,(2009 KN4),60600,1.941,0.5247,9.14,38.35,308.21,219.58,18.39,,,,
253841,(2003 YG118),60600,2.28,0.6461,8.03,233.54,347.42,330.41,17.28,,,,
420210,(2011 HF),60600,1.284,0.2346,10.62,149.66,204.88,327.18,20.44,,,,
244977,(2004 BE68),60600,1.761,0.4446,15.74,191.28,210.88,343.49,18.48,,,,
344076,(1998 HJ3),60600,1.985,0.7463,6.56,94.19,223.55,137.52,18.99,,,,
408792,(2000 GF2),60600,1.341,0.3777,9.63,108.1,176.01,243.93,20.56,,,,
242708,(2005 UK1),60600,2.501,0.6953,0.79,345.94,180.3,238.37,18.12,,,,
41429, 41429 (2000 GE2),60600,1.593,0.5553,2.17,297.2,351.91,42.91,20.66,,,,
430544,(2002 GM2),60600,2.201,0.8068,3.35,84.77,338.95,355.67,18.76,,,,
435548,(2008 QT3),60600,2.012,0.5285,7.25,160.98,271.9,196.12,18.87,,,,
2135,  2135 Aristaeus (1977 HA),60600,1.6,0.503,23.07,290.97,191.11,202.31,18.05,,,,
462550,(2009 CB3),60600,1.065,0.7237,21.5,229.52,158.73,148.11,19.63,,,,
531277,(2012 MM11),60600,2.113,0.6479,3.18,124.24,245.42,341.4,20.3,,,,
189040,(2000 MU1),60600,1.372,0.3825,13.09,63.78,130.03,84.71,19.87,,,,
381906,(2010 CL19),60600,1.543,0.6455,7.31,76.82,243.78,271.11,17.8,,,,
170086,(2002 XR14),60600,1.905,0.626,2.13,120.49,75.48,69.28,18.17,,,,
450293,(2004 LV3),60600,1.231,0.2757,35.34,121.35,273.47,237.45,18.83,,,,
440212,(2004 OB),60600,1.681,0.4304,3.44,223.35,174.52,55.29,18.96,,,,
2101,  2101 Adonis (1936 CA),60600,1.874,0.7642,1.32,43.69,349.43,230.82,18.72,,,,
